location,region,latitude,longitude,cameras
Kingscliff,Nth NSW,-28.25573,153.575851,2025
Cabarita,Nth NSW,-33.8438,151.11665,173
Brunswick Heads,Nth NSW,-28.540529,153.549484,243
Port Macquarie,Mid Coast NSW,-31.4307,152.906326,258
Forster,Mid Coast NSW,-32.180556,152.511667,2710
Terrigal,Central Coast NSW,-33.448011,151.444461,523233
Avoca,Central Coast NSW,-33.465,151.435,227
Thirroul,South Coast NSW,-34.31165,150.90035,208
North Wollongong,South Coast NSW,-34.408229,150.898739,4280
Shoalhaven Heads,South Coast NSW,-34.850227,150.741554,286
Sussex Inlet,South Coast NSW,-35.150647,150.56387,74544
Nobbys Beach,Newscastle-Hunter,-32.919167,151.798413,364
Newcastle Beach,Newscastle-Hunter,-32.929397,151.784852,304
Swansea ,Newscastle-Hunter,-33.090439,151.654769,295
Palm-Beach,Sydney,-33.595497,151.324758,294
Avalon,Sydney,-33.630431,151.330103,347
Newport,Sydney,-33.656228,151.315546,3275
Mona Vale,Sydney,-33.682327,151.308626,329
Narrabeen,Sydney,-33.71464,151.300638,308
Dee Why,Sydney,-33.753572,151.298406,251
Curl Curl,Sydney,-33.770853,151.294547,3482
Manly,Sydney,-33.813613,151.297263,316
North Bondi,Sydney,-33.890593,151.281371,3750
Bondi,Sydney,-33.893011,151.27459,321
Maroubra,Sydney,-33.945987,151.257573,318
Cronulla - Wanda,Sydney,-34.043332,151.162067,314
Cronulla ,Sydney,-34.055626,151.154886,325
