,cameras,href,daytime,location,region,latitude,longitude,label,confidence,box,time,count
0,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050000.gif,202005050000,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:20'],Counter()
1,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050010.gif,202005050010,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:21'],Counter()
2,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050020.gif,202005050020,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:22'],Counter()
3,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050030.gif,202005050030,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:22'],Counter()
4,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050040.gif,202005050040,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:23'],Counter()
5,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050050.gif,202005050050,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:24'],Counter()
6,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050100.gif,202005050100,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:24'],Counter()
7,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050110.gif,202005050110,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:25'],Counter()
8,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050120.gif,202005050120,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:26'],Counter()
9,2025,https://strm-gallery.coastalwatch.com/camera/livestill/2025/LiveStill_202005050130.gif,202005050130,Kingscliff,Nth NSW,-28.25573,153.575851,[],[],[],['2020/05/05-21:25:27'],Counter()
